header
IE0.0    -14.532       1       1 8.9177  2.3138  2.3       56.14   56.14
OF236.0  -13.572    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF237.0  -13.568    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF238.0  -13.564    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF239.0  -13.559    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF240.0  -13.555    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF241.0  -13.551    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF242.0  -13.547    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF243.0  -13.543    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF244.0  -13.539    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF245.0  -13.535    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF246.0  -13.531    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF247.0  -13.527    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF248.0  -13.523    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF249.0  -13.519    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF250.0  -13.515    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF251.0  -13.511    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF252.0  -13.506    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF253.0  -13.502    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF254.0  -13.498    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF255.0  -13.494    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF256.0  -13.490    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF257.0  -13.486    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF258.0  -13.482    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF259.0  -13.478    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF260.0  -13.474    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF261.0  -13.470    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF262.0  -13.466    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF263.0  -13.462    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF264.0  -13.458    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF265.0  -13.453    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF266.0  -13.449    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF267.0  -13.445    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF268.0  -13.441    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF269.0  -13.437    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF270.0  -13.433    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF271.0  -13.429    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF272.0  -13.425    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF273.0  -13.410    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF274.0  -13.394    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF275.0  -13.378    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF276.0  -13.362    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF277.0  -13.346    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF278.0  -13.330    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF279.0  -13.314    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF280.0  -13.298    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF281.0  -13.282    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF282.0  -13.266    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF283.0  -13.250    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF284.0  -13.234    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF285.0  -13.218    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF286.0  -13.202    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF287.0  -13.186    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF288.0  -13.170    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF289.0  -13.155    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF290.0  -13.139    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF291.0  -13.123    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF292.0  -13.107    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF293.0  -13.091    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF294.0  -13.075    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF295.0  -13.059    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF296.0  -13.043    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF297.0  -13.027    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF298.0  -13.011    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF299.0  -12.995    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF300.0  -12.979    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF301.0  -12.963    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF302.0  -12.947    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF303.0  -12.931    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF304.0  -12.915    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF305.0  -12.899    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF306.0  -12.883    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF307.0  -12.867    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF308.0  -12.851    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF309.0  -12.835    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF310.0  -12.819    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF311.0  -12.803    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF312.0  -12.787    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF313.0  -12.771    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
