header
OF1582.0 -14.233    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1583.0 -14.226    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1588.0 -14.190    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1589.0 -14.183    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1594.0 -14.147    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1595.0 -14.140    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1600.0 -14.105    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1601.0 -14.097    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1606.0 -14.058    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1607.0 -14.050    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1612.0 -14.012    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1613.0 -14.004    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1618.0 -13.965    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1619.0 -13.958    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1624.0 -13.919    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1625.0 -13.911    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1630.0 -13.873    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1631.0 -13.865    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1636.0 -13.826    0.00 8.852      0.00    0.00    0.00    0.00    0.00
