header
IE0.0    -19.593       1       1 9.0068  6.2314  5         56.14   56.14
OF348.0  -5.4122    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF350.0  -5.4281    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF352.0  -5.4439    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF354.0  -5.4102    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF356.0  -5.3408    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF358.0  -5.2714    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF360.0  -5.202     0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF362.0  -5.1326    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF364.0  -5.0632    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF366.0  -4.9938    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF368.0  -4.9244    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF370.0  -4.855     0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF372.0  -4.7856    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF374.0  -4.7162    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF376.0  -4.6468    0.00 9.0088     0.00    0.00    0.00    0.00    0.00
OF378.0  -4.5774    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF380.0  -4.508     0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF382.0  -4.4386    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF384.0  -4.3692    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF386.0  -4.2998    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF388.0  -4.2304    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF390.0  -4.161     0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF392.0  -4.0916    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF394.0  -4.0222    0.00 9.0089     0.00    0.00    0.00    0.00    0.00
OF396.0  -3.9528    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF398.0  -3.8834    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF400.0  -3.814     0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF402.0  -3.7446    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF404.0  -3.6752    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF406.0  -3.6058    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF408.0  -3.5364    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF410.0  -3.467     0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF412.0  -3.5329    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF414.0  -3.6443    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF416.0  -3.7557    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF418.0  -3.8671    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF420.0  -3.9965    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF422.0  -4.1284    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF424.0  -4.2671    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF426.0  -4.4189    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF428.0  -4.5708    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF430.0  -4.6085    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF432.0  -4.4937    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF434.0  -4.4391    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF436.0  -4.336     0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF438.0  -4.2329    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF440.0  -4.1298    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF442.0  -4.0267    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF444.0  -3.9236    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF446.0  -3.8205    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF448.0  -3.7174    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF450.0  -3.6364    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF452.0  -3.6594    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF454.0  -3.7462    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF456.0  -3.8214    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF458.0  -3.8991    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF460.0  -4.0037    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF462.0  -4.1082    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF464.0  -4.2127    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF466.0  -4.3173    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF468.0  -4.4218    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF470.0  -4.5263    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF472.0  -4.5221    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF474.0  -4.1901    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF476.0  -3.8582    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF478.0  -3.5262    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF480.0  -3.1943    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF482.0  -2.8623    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF484.0  -2.5304    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF486.0  -2.1984    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF488.0  -1.735     0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF490.0  -1.428     0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF492.0  -1.2985    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF494.0  -1.2232    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF496.0  -1.1479    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF498.0  -1.0726    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF500.0  -0.9973    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF502.0  -0.7567    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF504.0  -0.6133    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF506.0  -0.481     0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF508.0  -0.3487    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF510.0  -0.2165    0.00 9.009      0.00    0.00    0.00    0.00    0.00
OF512.0  -0.0842    0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF514.0  0.048      0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF516.0  0.1803     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF518.0  0.3126     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF520.0  0.4448     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF522.0  0.5771     0.00 9.009      0.00    0.00    0.00    0.00    0.00
IF524.0  2.2813     0.00 9.009      0.00    0.00    0.00    0.00    0.00
