 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Mon May 11 15:31:26 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.dat                                            
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.out                                            
                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE
                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00
                                                             PART1 INPUT
          IF   1110.000      4.849      0.000      9.061      0.000      0.000      0.000      0.000     -0.142      0.000
          IF   1117.000      3.520      0.000      9.061      0.000      0.000      0.000      0.000     -0.044      0.000
          IF   1129.000      4.012      0.000      9.062      0.000      0.000      0.000      0.000      0.032      0.000
          IF   1141.500      4.308      0.000      9.062      0.000      0.000      0.000      0.000      0.039      0.000
          IF   1148.000      4.747      0.000      9.062      0.000      0.000      0.000      0.000     -0.009      0.000
          IF   1149.000      4.242      0.000      9.062      0.000      0.000      0.000      0.000     -0.030      0.000
          IF   1156.000      4.505      0.000      9.063      0.000      0.000      0.000      0.000      0.036      0.000
          IF   1164.000      4.787      0.000      9.063      0.000      0.000      0.000      0.000     -0.017      0.000
          IF   1171.500      4.242      0.000      9.063      0.000      0.000      0.000      0.000     -0.016      0.000
          IF   1179.500      4.541      0.000      9.064      0.000      0.000      0.000      0.000      0.047      0.000
          IF   1185.500      4.902      0.000      9.064      0.000      0.000      0.000      0.000     -0.002      0.000
          IF   1192.500      4.508      0.000      9.064      0.000      0.000      0.000      0.000      0.004      0.000
          IF   1197.500      4.948      0.000      9.064      0.000      0.000      0.000      0.000      0.063      0.000
          IF   1200.000      4.980      0.000      9.064      0.000      0.000      0.000      0.000     -0.022      0.000
          IF   1205.500      4.770      0.000      9.064      0.000      0.000      0.000      0.000     -0.032      0.000
