X,Y,Z,STA
 -70.6561593165,   43.0788120241, -36.6259, -2363.00
 -70.6561630533,   43.0788121885, -36.6706, -2362.00
 -70.6561667900,   43.0788123530, -36.7153, -2361.00
 -70.6561705267,   43.0788125174, -36.7599, -2360.00
 -70.6561742635,   43.0788126819, -36.8046, -2359.00
 -70.6561779965,   43.0788128464, -36.8421, -2358.00
 -70.6561817332,   43.0788130108, -36.8708, -2357.00
 -70.6561854699,   43.0788131752, -36.8996, -2356.00
 -70.6561892067,   43.0788133397, -36.9283, -2355.00
 -70.6561929434,   43.0788135042, -36.9571, -2354.00
 -70.6561966801,   43.0788136686, -36.9858, -2353.00
 -70.6562004131,   43.0788138331, -37.0146, -2352.00
 -70.6562041498,   43.0788139975, -37.0433, -2351.00
 -70.6562078866,   43.0788141620, -37.0721, -2350.00
 -70.6562116233,   43.0788143264, -37.1008, -2349.00
 -70.6562153600,   43.0788144909, -37.1296, -2348.00
 -70.6562190968,   43.0788146553, -37.1583, -2347.00
 -70.6562228335,   43.0788148198, -37.1871, -2346.00
 -70.6562265665,   43.0788149842, -37.2158, -2345.00
 -70.6562303032,   43.0788151487, -37.2446, -2344.00
 -70.6562340400,   43.0788153131, -37.2733, -2343.00
 -70.6562377767,   43.0788154776, -37.3021, -2342.00
 -70.6562415134,   43.0788156420, -37.3308, -2341.00
 -70.6562452502,   43.0788158065, -37.3596, -2340.00
 -70.6562489831,   43.0788159709, -37.3883, -2339.00
 -70.6562527199,   43.0788161354, -37.4171, -2338.00
 -70.6562564566,   43.0788162998, -37.4458, -2337.00
 -70.6562601933,   43.0788164643, -37.4746, -2336.00
 -70.6562639301,   43.0788166288, -37.5033, -2335.00
 -70.6562676668,   43.0788167932, -37.5321, -2334.00
 -70.6562713998,   43.0788169576, -37.5608, -2333.00
 -70.6562751365,   43.0788171221, -37.5896, -2332.00
 -70.6562788733,   43.0788172866, -37.6183, -2331.00
 -70.6562826100,   43.0788174510, -37.6471, -2330.00
 -70.6562863467,   43.0788176155, -37.6758, -2329.00
 -70.6562900835,   43.0788177799, -37.7046, -2328.00
 -70.6562938164,   43.0788179443, -37.7333, -2327.00
 -70.6562975532,   43.0788181088, -37.7621, -2326.00
 -70.6563012899,   43.0788182733, -37.7908, -2325.00
 -70.6563050266,   43.0788184377, -37.8196, -2324.00
 -70.6563087634,   43.0788186022, -37.8484, -2323.00
 -70.6563125001,   43.0788187666, -37.8771, -2322.00
 -70.6563162331,   43.0788189311, -37.9059, -2321.00
 -70.6563199698,   43.0788190955, -37.9346, -2320.00
 -70.6563237066,   43.0788192599, -37.9634, -2319.00
 -70.6563274433,   43.0788194244, -37.9921, -2318.00
 -70.6563311800,   43.0788195888, -38.0209, -2317.00
 -70.6563349168,   43.0788197533, -38.0496, -2316.00
 -70.6563386497,   43.0788199178, -38.0784, -2315.00
 -70.6563423865,   43.0788200822, -38.1071, -2314.00
 -70.6563461232,   43.0788202466, -38.1359, -2313.00
 -70.6563498599,   43.0788204111, -38.1646, -2312.00
 -70.6563535967,   43.0788205755, -38.1934, -2311.00
 -70.6563573334,   43.0788207400, -38.2221, -2310.00
 -70.6563610664,   43.0788209045, -38.2509, -2309.00
