type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
OF,38,419500.437657375,4842889.5787994,-69.9996130663439,43.7346718055262,-30.408,8.807,7.64,14.16,9.58
OF,40,419500.988676184,4842889.839552,-69.9996062640793,43.7346742128024,-30.097,8.807,7.66,14.17,9.58
OF,42,419501.539694993,4842890.1003046,-69.9995994618141,43.7346766200782,-29.786,8.807,7.67,14.17,9.58
OF,44,419502.090713802,4842890.3610572,-69.9995926595485,43.7346790273535,-29.475,8.807,7.68,14.18,9.58
OF,46,419502.641732611,4842890.6218098,-69.9995858572822,43.7346814346285,-29.164,8.807,7.69,14.19,9.58
OF,48,419503.192751421,4842890.8825624,-69.9995790550154,43.7346838419031,-28.767,8.807,7.71,14.20,9.58
OF,50,419503.74377023,4842891.143315,-69.9995722527481,43.7346862491773,-28.362,8.807,7.72,14.21,9.58
OF,52,419504.294789039,4842891.4040676,-69.9995654504802,43.734688656451,-27.957,8.807,7.74,14.23,9.58
OF,54,419504.845807848,4842891.6648202,-69.9995586482117,43.7346910637244,-27.552,8.807,7.76,14.24,9.58
OF,56,419505.396826657,4842891.9255728,-69.9995518459427,43.7346934709974,-27.147,8.807,7.78,14.25,9.58
OF,58,419505.947845466,4842892.1863254,-69.9995450436732,43.7346958782699,-26.742,8.807,7.79,14.26,9.58
OF,60,419506.498864276,4842892.447078,-69.9995382414031,43.7346982855421,-26.338,8.807,7.81,14.28,9.58
OF,62,419507.049883085,4842892.7078306,-69.9995314391325,43.7347006928139,-25.933,8.807,7.83,14.29,9.58
OF,64,419507.600901894,4842892.9685832,-69.9995246368613,43.7347031000853,-25.528,8.807,7.85,14.30,9.58
OF,66,419508.151920703,4842893.2293358,-69.9995178345895,43.7347055073562,-25.123,8.807,7.87,14.32,9.58
OF,68,419508.702939512,4842893.4900884,-69.9995110323172,43.7347079146268,-24.718,8.807,7.89,14.33,9.58
OF,70,419509.253958322,4842893.750841,-69.9995042300444,43.734710321897,-24.313,8.807,7.91,14.35,9.58
OF,72,419509.804977131,4842894.0115936,-69.999497427771,43.7347127291667,-23.908,8.807,7.93,14.36,9.58
OF,74,419510.35599594,4842894.2723462,-69.999490625497,43.7347151364361,-23.503,8.807,7.96,14.38,9.58
OF,76,419510.907014749,4842894.5330988,-69.9994838232225,43.7347175437051,-23.098,8.807,7.98,14.39,9.58
OF,78,419511.458033558,4842894.7938514,-69.9994770209475,43.7347199509736,-22.693,8.807,8.00,14.41,9.58
OF,80,419512.009052368,4842895.054604,-69.9994702186719,43.7347223582418,-22.288,8.807,8.03,14.43,9.58
OF,82,419512.560071177,4842895.3153566,-69.9994634163957,43.7347247655095,-21.883,8.807,8.05,14.44,9.58
OF,84,419513.111089986,4842895.5761092,-69.999456614119,43.7347271727769,-21.478,8.807,8.07,14.46,9.58
OF,86,419513.662108795,4842895.8368618,-69.9994498118418,43.7347295800439,-21.073,8.807,8.10,14.48,9.58
OF,88,419514.213127604,4842896.0976144,-69.999443009564,43.7347319873104,-20.661,8.806,8.13,14.50,9.58
OF,90,419514.764146413,4842896.358367,-69.9994362072856,43.7347343945766,-20.249,8.806,8.15,14.51,9.58
OF,92,419515.315165223,4842896.6191196,-69.9994294050067,43.7347368018424,-19.837,8.806,8.18,14.53,9.58
OF,94,419515.866184032,4842896.8798722,-69.9994226027273,43.7347392091077,-19.425,8.806,8.21,14.55,9.58
OF,96,419516.417202841,4842897.1406248,-69.9994158004473,43.7347416163727,-19.013,8.806,8.24,14.57,9.58
OF,98,419516.96822165,4842897.4013774,-69.9994089981667,43.7347440236372,-18.601,8.806,8.27,14.60,9.58
OF,100,419517.519240459,4842897.66213,-69.9994021958856,43.7347464309014,-18.189,8.806,8.30,14.62,9.58
OF,102,419518.070259269,4842897.9228826,-69.9993953936039,43.7347488381651,-17.777,8.806,8.33,14.64,9.58
OF,104,419518.621278078,4842898.1836352,-69.9993885913217,43.7347512454285,-17.365,8.806,8.37,14.66,9.58
OF,106,419519.172296887,4842898.4443878,-69.9993817890389,43.7347536526915,-16.953,8.806,8.40,14.69,9.58
OF,108,419519.723315696,4842898.7051404,-69.9993749867556,43.734756059954,-16.541,8.806,8.44,14.71,9.58
OF,110,419520.274334505,4842898.965893,-69.9993681844718,43.7347584672162,-16.129,8.806,8.47,14.74,9.58
OF,112,419520.825353315,4842899.2266456,-69.9993613821874,43.7347608744779,-15.717,8.806,8.51,14.76,9.58
OF,114,419521.376372124,4842899.4873982,-69.9993545799024,43.7347632817393,-15.305,8.806,8.55,14.79,9.58
OF,116,419521.927390933,4842899.74815081,-69.9993477776169,43.7347656890002,-14.893,8.806,8.59,14.82,9.58
OF,118,419522.478409742,4842900.0089034,-69.9993409753308,43.7347680962608,-14.481,8.806,8.63,14.85,9.58
OF,120,419523.029428551,4842900.269656,-69.9993341730442,43.7347705035209,-14.069,8.806,8.67,14.88,9.58
OF,122,419523.58044736,4842900.53040861,-69.999327370757,43.7347729107807,-13.657,8.806,8.71,14.91,9.58
