X,Y,Zlidar,STA,SOURCE
-70.2074453,43.64834952,-5.56758548,247,2006FEMA
-70.2074483,43.64834785,-5.56758548,248,2006FEMA
-70.20745129,43.64834618,-5.56758548,249,2006FEMA
-70.20745429,43.64834451,-5.56758548,250,2006FEMA
-70.20745729,43.64834284,-5.56758548,251,2006FEMA
-70.20746029,43.64834117,-5.56758548,252,2006FEMA
-70.20746329,43.6483395,-5.56758548,253,2006FEMA
-70.20746628,43.64833783,-5.56758548,254,2006FEMA
-70.20746928,43.64833616,-5.56758548,255,2006FEMA
-70.20747228,43.64833449,-5.56758548,256,2006FEMA
-70.20747528,43.64833282,-5.56758548,257,2006FEMA
-70.20747828,43.64833115,-5.56758548,258,2006FEMA
-70.20748127,43.64832948,-5.56758548,259,2006FEMA
-70.20748427,43.6483278,-5.63648312,260,2006FEMA
-70.20748727,43.64832613,-5.63648312,261,2006FEMA
-70.20749027,43.64832446,-5.63648312,262,2006FEMA
-70.20749326,43.64832279,-5.63648312,263,2006FEMA
-70.20749626,43.64832112,-5.63648312,264,2006FEMA
-70.20749926,43.64831945,-5.63648312,265,2006FEMA
-70.20750226,43.64831778,-5.63648312,266,2006FEMA
-70.20750526,43.64831611,-5.63648312,267,2006FEMA
-70.20750825,43.64831444,-5.63648312,268,2006FEMA
-70.20751125,43.64831277,-5.63648312,269,2006FEMA
-70.20751425,43.6483111,-5.63648312,270,2006FEMA
-70.20751725,43.64830943,-5.63648312,271,2006FEMA
-70.20752025,43.64830776,-5.63648312,272,2006FEMA
-70.20752324,43.64830608,-5.63648312,273,2006FEMA
-70.20752624,43.64830441,-5.70209992,274,2006FEMA
-70.20752924,43.64830274,-5.70209992,275,2006FEMA
-70.20753224,43.64830107,-5.70209992,276,2006FEMA
-70.20753524,43.6482994,-5.70209992,277,2006FEMA
-70.20753823,43.64829773,-5.70209992,278,2006FEMA
-70.20754123,43.64829606,-5.70209992,279,2006FEMA
-70.20754423,43.64829439,-5.66601068,280,2006FEMA
-70.20754723,43.64829272,-5.66601068,281,2006FEMA
-70.20755022,43.64829105,-5.66601068,282,2006FEMA
-70.20755322,43.64828938,-5.66601068,283,2006FEMA
-70.20755622,43.64828771,-5.66601068,284,2006FEMA
-70.20755922,43.64828604,-5.66601068,285,2006FEMA
-70.20756222,43.64828437,-5.66601068,286,2006FEMA
-70.20756521,43.64828269,-5.50196868,287,2006FEMA
-70.20756821,43.64828102,-5.50196868,288,2006FEMA
-70.20757121,43.64827935,-5.50196868,289,2006FEMA
-70.20757421,43.64827768,-5.50196868,290,2006FEMA
-70.20757721,43.64827601,-5.50196868,291,2006FEMA
-70.2075802,43.64827434,-5.50196868,292,2006FEMA
-70.2075832,43.64827267,-5.50196868,293,2006FEMA
-70.2075862,43.648271,-5.50196868,294,2006FEMA
-70.2075892,43.64826933,-5.50196868,295,2006FEMA
-70.2075922,43.64826766,-5.50196868,296,2006FEMA
-70.20759519,43.64826599,-5.50196868,297,2006FEMA
-70.20759819,43.64826432,-5.50196868,298,2006FEMA
-70.20760119,43.64826265,-5.50196868,299,2006FEMA
-70.20760419,43.64826097,-5.50196868,300,2006FEMA
-70.20760718,43.6482593,-5.50196868,301,2006FEMA
-70.20761018,43.64825763,-5.50196868,302,2006FEMA
-70.20761318,43.64825596,-5.50196868,303,2006FEMA
-70.20761618,43.64825429,-5.50196868,304,2006FEMA
-70.20761918,43.64825262,-5.50196868,305,2006FEMA
-70.20762217,43.64825095,-5.50196868,306,2006FEMA
-70.20762517,43.64824928,-5.50196868,307,2006FEMA
-70.20762817,43.64824761,-5.50196868,308,2006FEMA
-70.20763117,43.64824594,-5.50196868,309,2006FEMA
-70.20763417,43.64824427,-5.50196868,310,2006FEMA
-70.20763716,43.6482426,-5.53149624,311,2006FEMA
-70.20764016,43.64824093,-5.53149624,312,2006FEMA
-70.20764316,43.64823926,-5.53149624,313,2006FEMA
-70.20764616,43.64823758,-5.53149624,314,2006FEMA
-70.20764915,43.64823591,-5.53149624,315,2006FEMA
-70.20765215,43.64823424,-5.60039388,316,2006FEMA
-70.20765515,43.64823257,-5.60039388,317,2006FEMA
-70.20765815,43.6482309,-5.60039388,318,2006FEMA
-70.20766115,43.64822923,-5.60039388,319,2006FEMA
-70.20766414,43.64822756,-5.60039388,320,2006FEMA
-70.20766714,43.64822589,-5.60039388,321,2006FEMA
-70.20767014,43.64822422,-5.60039388,322,2006FEMA
-70.20767314,43.64822255,-5.60039388,323,2006FEMA
-70.20767614,43.64822088,-5.60039388,324,2006FEMA
-70.20767913,43.64821921,-5.60039388,325,2006FEMA
-70.20768213,43.64821754,-5.60039388,326,2006FEMA
-70.20768513,43.64821587,-5.60039388,327,2006FEMA
-70.20768813,43.64821419,-5.60039388,328,2006FEMA
-70.20769113,43.64821252,-5.60039388,329,2006FEMA
-70.20769412,43.64821085,-5.60039388,330,2006FEMA
-70.20769712,43.64820918,-5.60039388,331,2006FEMA
-70.20770012,43.64820751,-5.60039388,332,2006FEMA
-70.20770312,43.64820584,-5.66601068,333,2006FEMA
-70.20770611,43.64820417,-5.66601068,334,2006FEMA
-70.20770911,43.6482025,-5.66601068,335,2006FEMA
-70.20771211,43.64820083,-5.66601068,336,2006FEMA
-70.20771511,43.64819916,-5.66601068,337,2006FEMA
-70.20771811,43.64819749,-5.66601068,338,2006FEMA
-70.2077211,43.64819582,-5.66601068,339,2006FEMA
