X,Y,Z,STA
-70.3518726700,43.4344976500,-28.4295892400,-2262.00
-70.3518739000,43.4345002400,-28.3549870396,-2261.00
-70.3518751300,43.4345028300,-28.2803848391,-2260.00
-70.3518763700,43.4345054200,-28.2054873105,-2259.00
-70.3518776000,43.4345080200,-28.1307373230,-2258.00
-70.3518788300,43.4345106100,-28.0561351222,-2257.00
-70.3518800700,43.4345132000,-27.9812375940,-2256.00
-70.3518813000,43.4345157900,-27.9066353931,-2255.00
-70.3518825300,43.4345183800,-27.8320331927,-2254.00
-70.3518837700,43.4345209700,-27.7571356640,-2253.00
-70.3518850000,43.4345235700,-27.6823856765,-2252.00
-70.3518862300,43.4345261600,-27.6077834758,-2251.00
-70.3518874700,43.4345287500,-27.5328859475,-2250.00
-70.3518887000,43.4345313400,-27.4582837467,-2249.00
-70.3518899300,43.4345339300,-27.3836815462,-2248.00
-70.3518911700,43.4345365300,-27.3086362305,-2247.00
-70.3518924000,43.4345391200,-27.2340340302,-2246.00
-70.3518936300,43.4345417100,-27.1594318293,-2245.00
-70.3518948700,43.4345443000,-27.0845343011,-2244.00
-70.3518961000,43.4345468900,-27.0099321002,-2243.00
-70.3518973300,43.4345494800,-26.9353298998,-2242.00
-70.3518985700,43.4345520800,-26.8602845840,-2241.00
-70.3518998000,43.4345546700,-26.7856823837,-2240.00
-70.3519010300,43.4345572600,-26.7110801833,-2239.00
-70.3519022700,43.4345598500,-26.6361826546,-2238.00
-70.3519035000,43.4345624400,-26.5615804538,-2237.00
-70.3519047300,43.4345650400,-26.4868304663,-2236.00
-70.3519059700,43.4345676300,-26.4119329377,-2235.00
-70.3519072000,43.4345702200,-26.3373307373,-2234.00
-70.3519084300,43.4345728100,-26.2627285368,-2233.00
-70.3519096700,43.4345754000,-26.1878310082,-2232.00
-70.3519109000,43.4345779900,-26.1132288073,-2231.00
-70.3519121300,43.4345805900,-26.0384788198,-2230.00
-70.3519133700,43.4345831800,-25.9635812912,-2229.00
-70.3519146000,43.4345857700,-25.8889790908,-2228.00
-70.3519158300,43.4345883600,-25.8143768904,-2227.00
-70.3519170700,43.4345909500,-25.7394793617,-2226.00
-70.3519183000,43.4345935500,-25.6647293742,-2225.00
-70.3519195300,43.4345961400,-25.5901271735,-2224.00
-70.3519207700,43.4345987300,-25.5152296448,-2223.00
-70.3519220000,43.4346013200,-25.4406274444,-2222.00
-70.3519232300,43.4346039100,-25.3660252440,-2221.00
-70.3519244700,43.4346065000,-25.2911277153,-2220.00
-70.3519257000,43.4346091000,-25.2163777278,-2219.00
-70.3519269300,43.4346116900,-25.1417755270,-2218.00
-70.3519281700,43.4346142800,-25.0668779988,-2217.00
-70.3519294000,43.4346168700,-24.9922757979,-2216.00
-70.3519306300,43.4346194600,-24.9176735975,-2215.00
-70.3519318700,43.4346220600,-24.8426282817,-2214.00
-70.3519331000,43.4346246500,-24.7680260813,-2213.00
-70.3519343300,43.4346272400,-24.6934238806,-2212.00
-70.3519355700,43.4346298300,-24.6185263523,-2211.00
-70.3519368000,43.4346324200,-24.5439241515,-2210.00
-70.3519380300,43.4346350100,-24.4693219511,-2209.00
-70.3519392700,43.4346376100,-24.3942766353,-2208.00
-70.3519405000,43.4346402000,-24.3196744350,-2207.00
-70.3519417300,43.4346427900,-24.2450722345,-2206.00
-70.3519429700,43.4346453800,-24.1701747059,-2205.00
-70.3519442000,43.4346479700,-24.0955725050,-2204.00
-70.3519454300,43.4346505700,-24.0208225175,-2203.00
-70.3519466700,43.4346531600,-23.9459249888,-2202.00
-70.3519479000,43.4346557500,-23.8713227885,-2201.00
-70.3519491300,43.4346583400,-23.7967205881,-2200.00
-70.3519503700,43.4346609300,-23.7218230594,-2199.00
-70.3519516000,43.4346635200,-23.6472208586,-2198.00
-70.3519528300,43.4346661200,-23.5724708711,-2197.00
-70.3519540700,43.4346687100,-23.4975733425,-2196.00
-70.3519553000,43.4346713000,-23.4229711421,-2195.00
-70.3519565300,43.4346738900,-23.3483689417,-2194.00
-70.3519577700,43.4346764800,-23.2734714130,-2193.00
-70.3519590000,43.4346790800,-23.1987214255,-2192.00
-70.3519602400,43.4346816700,-23.1238238968,-2191.00
-70.3519614700,43.4346842600,-23.0492216960,-2190.00
-70.3519627000,43.4346868500,-22.9746194956,-2189.00
-70.3519639400,43.4346894500,-22.9066768878,-2188.00
-70.3519651700,43.4346920400,-22.8435770429,-2187.00
-70.3519664000,43.4346946300,-22.7804771979,-2186.00
-70.3519676400,43.4346972200,-22.7170872204,-2185.00
-70.3519688700,43.4346998200,-22.6538815316,-2184.00
-70.3519701100,43.4347024100,-22.5904915539,-2183.00
-70.3519713400,43.4347050000,-22.5273917086,-2182.00
-70.3519725700,43.4347075900,-22.4642918636,-2181.00
-70.3519738100,43.4347101800,-22.4009018860,-2180.00
-70.3519750400,43.4347127800,-22.3376961972,-2179.00
-70.3519762800,43.4347153700,-22.2743062196,-2178.00
-70.3519775100,43.4347179600,-22.2112063747,-2177.00
-70.3519787400,43.4347205500,-22.1481065293,-2176.00
-70.3519799800,43.4347231500,-22.0846107082,-2175.00
-70.3519812100,43.4347257400,-22.0215108629,-2174.00
-70.3519824400,43.4347283300,-21.9584110180,-2173.00
-70.3519836800,43.4347309200,-21.8950210403,-2172.00
-70.3519849100,43.4347335200,-21.8318153515,-2171.00
-70.3519861500,43.4347361100,-21.7684253739,-2170.00
-70.3519873800,43.4347387000,-21.7053255290,-2169.00
-70.3519886100,43.4347412900,-21.6422256836,-2168.00
-70.3519898500,43.4347438800,-21.5788357064,-2167.00
-70.3519910800,43.4347464800,-21.5156300172,-2166.00
-70.3519923200,43.4347490700,-21.4522400400,-2165.00
-70.3519935500,43.4347516600,-21.3891401946,-2164.00
-70.3519947800,43.4347542500,-21.3260403497,-2163.00
-70.3519960200,43.4347568500,-21.2625445283,-2162.00
-70.3519972500,43.4347594400,-21.1994446833,-2161.00
-70.3519984800,43.4347620300,-21.1363448379,-2160.00
-70.3519997200,43.4347646200,-21.0729548607,-2159.00
-70.3520009500,43.4347672200,-21.0097491716,-2158.00
-70.3520021900,43.4347698100,-20.9463591944,-2157.00
-70.3520034200,43.4347724000,-20.8832593490,-2156.00
-70.3520046500,43.4347749900,-20.8201595040,-2155.00
-70.3520058900,43.4347775800,-20.7567695264,-2154.00
-70.3520071200,43.4347801800,-20.6935638377,-2153.00
-70.3520083600,43.4347827700,-20.6301738600,-2152.00
