header
IE0.0    -16.356       1       1 9.0273  4.6994  6.937     56.14   56.14
OF475.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF476.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF477.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF478.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF479.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF480.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF481.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF482.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF483.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF484.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF485.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF486.0  -16.706    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF487.0  -16.705    0.00 9.0284     0.00    0.00    0.00    0.00    0.00
OF488.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF489.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF490.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF491.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF492.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF493.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF494.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF495.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF496.0  -16.705    0.00 9.0285     0.00    0.00    0.00    0.00    0.00
OF497.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF498.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF499.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF500.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF501.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF502.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF503.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF504.0  -16.705    0.00 9.0286     0.00    0.00    0.00    0.00    0.00
OF505.0  -16.705    0.00 9.0287     0.00    0.00    0.00    0.00    0.00
OF506.0  -16.705    0.00 9.0287     0.00    0.00    0.00    0.00    0.00
OF507.0  -16.705    0.00 9.0287     0.00    0.00    0.00    0.00    0.00
OF508.0  -16.705    0.00 9.0287     0.00    0.00    0.00    0.00    0.00
OF509.0  -16.705    0.00 9.0287     0.00    0.00    0.00    0.00    0.00
OF510.0  -16.705    0.00 9.0287     0.00    0.00    0.00    0.00    0.00
