X,Y,Zadcirc,STA,source
-69.96496337,43.76212225,9.60383440169815,242,interpolated ADCIRC
-69.96496692,43.76212321,9.78714022630856,243,interpolated ADCIRC
-69.96497046,43.76212418,9.97001802731264,244,interpolated ADCIRC
-69.964974,43.76212514,10.1528262997081,245,interpolated ADCIRC
-69.96497755,43.76212611,10.3362016528777,246,interpolated ADCIRC
-69.96498109,43.76212708,10.5190794531748,247,interpolated ADCIRC
-69.96498464,43.76212804,10.7023852784922,248,interpolated ADCIRC
-69.96498818,43.76212901,10.8852630794963,249,interpolated ADCIRC
-69.96499172,43.76212998,11.0681408797439,250,interpolated ADCIRC
-69.96499527,43.76213094,11.2514467050614,251,interpolated ADCIRC
-69.96499881,43.76213191,11.4343245053584,252,interpolated ADCIRC
-69.96500235,43.76213288,11.6172023063625,253,interpolated ADCIRC
-69.9650059,43.76213384,11.8005081309235,254,interpolated ADCIRC
-69.96500944,43.76213481,11.9833859319276,255,interpolated ADCIRC
-69.96501299,43.76213578,12.1667612851466,256,interpolated ADCIRC
-69.96501653,43.76213674,12.3495695575421,257,interpolated ADCIRC
-69.96502007,43.76213771,12.5324473577897,258,interpolated ADCIRC
-69.96502362,43.76213867,12.7157531831072,259,interpolated ADCIRC
-69.96502716,43.76213964,12.8986309841113,260,interpolated ADCIRC
-69.9650307,43.76214061,13.0815087844083,261,interpolated ADCIRC
-69.96503425,43.76214157,13.2648146096764,262,interpolated ADCIRC
-69.96503779,43.76214254,13.4476924099734,263,interpolated ADCIRC
-69.96504134,43.76214351,13.6310677631924,264,interpolated ADCIRC
-69.96504488,43.76214447,13.8138760355879,265,interpolated ADCIRC
-69.96504842,43.76214544,13.9967538365426,266,interpolated ADCIRC
-69.96505197,43.76214641,14.1801291897616,267,interpolated ADCIRC
-69.96505551,43.76214737,14.362937462157,268,interpolated ADCIRC
-69.96505905,43.76214834,14.5458152624541,269,interpolated ADCIRC
-69.9650626,43.76214931,14.7291906156237,270,interpolated ADCIRC
-69.96506614,43.76215027,14.9119988887262,271,interpolated ADCIRC
-69.96506969,43.76215124,15.0953742419452,272,interpolated ADCIRC
-69.96507323,43.76215221,15.2782520422423,273,interpolated ADCIRC
-69.96507677,43.76215317,15.4610603145883,274,interpolated ADCIRC
-69.96508032,43.76215414,15.6444356678074,275,interpolated ADCIRC
-69.96508386,43.7621551,15.8272439402028,276,interpolated ADCIRC
-69.9650874,43.76215607,16.0101217412069,277,interpolated ADCIRC
-69.96509095,43.76215704,16.1934970943765,278,interpolated ADCIRC
-69.96509449,43.762158,16.376305366772,279,interpolated ADCIRC
-69.96509804,43.76215897,16.559680719991,280,interpolated ADCIRC
-69.96510158,43.76215994,16.7425585202386,281,interpolated ADCIRC
-69.96510512,43.7621609,16.9253667933412,282,interpolated ADCIRC
-69.96510867,43.76216187,17.1087421465602,283,interpolated ADCIRC
-69.96511221,43.76216284,17.2916199468572,284,interpolated ADCIRC
-69.96511575,43.7621638,17.4744282192527,285,interpolated ADCIRC
-69.9651193,43.76216477,17.6578035724223,286,interpolated ADCIRC
-69.96512284,43.76216574,17.8406813734264,287,interpolated ADCIRC
-69.96512639,43.7621667,18.0239871980368,288,interpolated ADCIRC
-69.96512993,43.76216767,18.2068649989915,289,interpolated ADCIRC
-69.96513347,43.76216863,18.389673271387,290,interpolated ADCIRC
-69.96513702,43.7621696,18.573048624606,291,interpolated ADCIRC
-69.96514056,43.76217057,18.755926424903,292,interpolated ADCIRC
-69.96514411,43.76217153,18.9392322502205,293,interpolated ADCIRC
-69.96514765,43.7621725,19.1221100511752,294,interpolated ADCIRC
-69.96515119,43.76217347,19.3049878514722,295,interpolated ADCIRC
-69.96515474,43.76217443,19.4882936767897,296,interpolated ADCIRC
-69.96515828,43.7621754,19.6711714770373,297,interpolated ADCIRC
-69.96516182,43.76217637,19.8540492780414,298,interpolated ADCIRC
-69.96516537,43.76217733,20.0373551026518,299,interpolated ADCIRC
-69.96516891,43.7621783,20.2202329036558,300,interpolated ADCIRC
-69.96517246,43.76217927,20.4036082568255,301,interpolated ADCIRC
-69.965176,43.76218023,20.5864165292209,302,interpolated ADCIRC
-69.96517954,43.7621812,20.769294329518,303,interpolated ADCIRC
-69.96518309,43.76218217,20.952669682737,304,interpolated ADCIRC
-69.96518663,43.76218313,21.1354779557901,305,interpolated ADCIRC
-69.96519017,43.7621841,21.3183557560871,306,interpolated ADCIRC
-69.96519372,43.76218506,21.5016615814046,307,interpolated ADCIRC
-69.96519726,43.76218603,21.6845393817016,308,interpolated ADCIRC
-69.96520081,43.762187,21.8679147348712,309,interpolated ADCIRC
-69.96520435,43.76218796,22.0507230072667,310,interpolated ADCIRC
-69.96520789,43.76218893,22.2336008082708,311,interpolated ADCIRC
-69.96521144,43.7621899,22.4169761614898,312,interpolated ADCIRC
-69.96521498,43.76219086,22.5997844338359,313,interpolated ADCIRC
-69.96521852,43.76219183,22.7826622341329,314,interpolated ADCIRC
