X,Y,Zlidar,STA,SOURCE
-69.90025049,43.78884859,-999,339,-999
-69.90024691,43.7888477,-999,340,-999
-69.90024332,43.78884681,-999,341,-999
-69.90023974,43.78884592,-999,342,-999
-69.90023616,43.78884503,-999,343,-999
-69.90023257,43.78884414,-999,344,-999
-69.90022899,43.78884326,-999,345,-999
-69.90022541,43.78884237,-999,346,-999
-69.90022182,43.78884148,-999,347,-999
-69.90021824,43.78884059,-999,348,-999
-69.90021466,43.7888397,-999,349,-999
-69.90021107,43.78883881,-999,350,-999
-69.90020749,43.78883792,-999,351,-999
-69.90020391,43.78883703,-999,352,-999
-69.90020032,43.78883614,-999,353,-999
-69.90019674,43.78883525,-999,354,-999
-69.90019316,43.78883436,-999,355,-999
-69.90018957,43.78883347,-999,356,-999
-69.90018599,43.78883258,-999,357,-999
-69.9001824,43.78883169,-999,358,-999
-69.90017882,43.7888308,-999,359,-999
-69.90017524,43.78882991,-999,360,-999
-69.90017165,43.78882902,-999,361,-999
-69.90016807,43.78882813,-999,362,-999
-69.90016449,43.78882724,-999,363,-999
-69.9001609,43.78882635,-999,364,-999
-69.90015732,43.78882546,-999,365,-999
-69.90015374,43.78882457,-999,366,-999
-69.90015015,43.78882368,-999,367,-999
-69.90014657,43.78882279,-999,368,-999
-69.90014299,43.7888219,-999,369,-999
-69.9001394,43.78882101,-999,370,-999
-69.90013582,43.78882013,-999,371,-999
-69.90013224,43.78881924,-999,372,-999
-69.90012865,43.78881835,-999,373,-999
-69.90012507,43.78881746,-999,374,-999
-69.90012149,43.78881657,-999,375,-999
-69.9001179,43.78881568,-999,376,-999
-69.90011432,43.78881479,-999,377,-999
-69.90011073,43.7888139,-999,378,-999
-69.90010715,43.78881301,-999,379,-999
-69.90010357,43.78881212,-999,380,-999
-69.90009998,43.78881123,-999,381,-999
-69.9000964,43.78881034,-999,382,-999
-69.90009282,43.78880945,-999,383,-999
-69.90008923,43.78880856,-999,384,-999
-69.90008565,43.78880767,-999,385,-999
-69.90008207,43.78880678,-999,386,-999
-69.90007848,43.78880589,-999,387,-999
-69.9000749,43.788805,-999,388,-999
-69.90007132,43.78880411,-999,389,-999
-69.90006773,43.78880322,-999,390,-999
-69.90006415,43.78880233,-999,391,-999
-69.90006057,43.78880144,-999,392,-999
-69.90005698,43.78880055,-999,393,-999
-69.9000534,43.78879966,-999,394,-999
-69.90004982,43.78879877,-999,395,-999
-69.90004623,43.78879788,-999,396,-999
-69.90004265,43.788797,-999,397,-999
-69.90003906,43.78879611,-999,398,-999
-69.90003548,43.78879522,-999,399,-999
-69.9000319,43.78879433,-999,400,-999
-69.90002831,43.78879344,-999,401,-999
-69.90002473,43.78879255,-999,402,-999
-69.90002115,43.78879166,-999,403,-999
-69.90001756,43.78879077,-999,404,-999
-69.90001398,43.78878988,-999,405,-999
-69.9000104,43.78878899,-999,406,-999
-69.90000681,43.7887881,-999,407,-999
-69.90000323,43.78878721,-999,408,-999
-69.89999965,43.78878632,-999,409,-999
-69.89999606,43.78878543,-999,410,-999
-69.89999248,43.78878454,-999,411,-999
-69.8999889,43.78878365,-999,412,-999
-69.89998531,43.78878276,-999,413,-999
-69.89998173,43.78878187,-999,414,-999
-69.89997815,43.78878098,-999,415,-999
-69.89997456,43.78878009,-999,416,-999
-69.89997098,43.7887792,-999,417,-999
-69.89996739,43.78877831,-999,418,-999
-69.89996381,43.78877742,-999,419,-999
-69.89996023,43.78877653,-999,420,-999
-69.89995664,43.78877564,-999,421,-999
-69.89995306,43.78877475,-999,422,-999
-69.89994948,43.78877386,-999,423,-999
-69.89994589,43.78877298,-999,424,-999
-69.89994231,43.78877209,-999,425,-999
-69.89993873,43.7887712,-999,426,-999
-69.89993514,43.78877031,-999,427,-999
-69.89993156,43.78876942,-999,428,-999
-69.89992798,43.78876853,-999,429,-999
-69.89992439,43.78876764,-999,430,-999
-69.89992081,43.78876675,-999,431,-999
-69.89991723,43.78876586,-999,432,-999
-69.89991364,43.78876497,-999,433,-999
-69.89991006,43.78876408,-999,434,-999
-69.89990648,43.78876319,-999,435,-999
-69.89990289,43.7887623,-999,436,-999
-69.89989931,43.78876141,-999,437,-999
-69.89989572,43.78876052,-999,438,-999
-69.89989214,43.78875963,-999,439,-999
-69.89988856,43.78875874,-999,440,-999
-69.89988497,43.78875785,-999,441,-999
-69.89988139,43.78875696,-999,442,-999
-69.89987781,43.78875607,-999,443,-999
-69.89987422,43.78875518,-999,444,-999
-69.89987064,43.78875429,-999,445,-999
-69.89986706,43.7887534,-999,446,-999
-69.89986347,43.78875251,-999,447,-999
-69.89985989,43.78875162,-999,448,-999
-69.89985631,43.78875073,-999,449,-999
-69.89985272,43.78874984,-999,450,-999
-69.89984914,43.78874896,-999,451,-999
-69.89984556,43.78874807,-999,452,-999
-69.89984197,43.78874718,-999,453,-999
-69.89983839,43.78874629,-999,454,-999
-69.89983481,43.7887454,-999,455,-999
-69.89983122,43.78874451,-999,456,-999
-69.89982764,43.78874362,-999,457,-999
-69.89982405,43.78874273,-999,458,-999
-69.89982047,43.78874184,-999,459,-999
-69.89981689,43.78874095,-999,460,-999
-69.8998133,43.78874006,-999,461,-999
-69.89980972,43.78873917,-999,462,-999
-69.89980614,43.78873828,-999,463,-999
-69.89980255,43.78873739,-999,464,-999
-69.89979897,43.7887365,-999,465,-999
-69.89979539,43.78873561,-999,466,-999
-69.8997918,43.78873472,-999,467,-999
-69.89978822,43.78873383,-999,468,-999
-69.89978464,43.78873294,-999,469,-999
-69.89978105,43.78873205,-999,470,-999
-69.89977747,43.78873116,-999,471,-999
-69.89977389,43.78873027,-999,472,-999
-69.8997703,43.78872938,-999,473,-999
-69.89976672,43.78872849,-999,474,-999
-69.89976314,43.7887276,-999,475,-999
-69.89975955,43.78872671,-999,476,-999
-69.89975597,43.78872582,-999,477,-999
-69.89975238,43.78872494,-999,478,-999
-69.8997488,43.78872405,-999,479,-999
-69.89974522,43.78872316,-999,480,-999
-69.89974163,43.78872227,-999,481,-999
-69.89973805,43.78872138,-999,482,-999
-69.89973447,43.78872049,-999,483,-999
-69.89973088,43.7887196,-999,484,-999
-69.8997273,43.78871871,-999,485,-999
-69.89972372,43.78871782,-999,486,-999
-69.89972013,43.78871693,-999,487,-999
-69.89971655,43.78871604,-999,488,-999
-69.89971297,43.78871515,-999,489,-999
-69.89970938,43.78871426,-999,490,-999
-69.8997058,43.78871337,-999,491,-999
-69.89970222,43.78871248,-999,492,-999
-69.89969863,43.78871159,-999,493,-999
-69.89969505,43.7887107,-999,494,-999
-69.89969147,43.78870981,-999,495,-999
-69.89968788,43.78870892,-999,496,-999
-69.8996843,43.78870803,-999,497,-999
-69.89968071,43.78870714,-999,498,-999
-69.89967713,43.78870625,-999,499,-999
-69.89967355,43.78870536,-999,500,-999
-69.89966996,43.78870447,-999,501,-999
-69.89966638,43.78870358,-999,502,-999
-69.8996628,43.78870269,-999,503,-999
-69.89965921,43.7887018,-999,504,-999
-69.89965563,43.78870092,-999,505,-999
-69.89965205,43.78870003,-999,506,-999
-69.89964846,43.78869914,-999,507,-999
-69.89964488,43.78869825,-999,508,-999
-69.8996413,43.78869736,-999,509,-999
-69.89963771,43.78869647,-999,510,-999
-69.89963413,43.78869558,-999,511,-999
-69.89963055,43.78869469,-999,512,-999
-69.89962696,43.7886938,-999,513,-999
-69.89962338,43.78869291,-999,514,-999
-69.8996198,43.78869202,-999,515,-999
-69.89961621,43.78869113,-999,516,-999
-69.89961263,43.78869024,-999,517,-999
-69.89960905,43.78868935,-999,518,-999
-69.89960546,43.78868846,-999,519,-999
-69.89960188,43.78868757,-999,520,-999
-69.89959829,43.78868668,-999,521,-999
-69.89959471,43.78868579,-999,522,-999
-69.89959113,43.7886849,-999,523,-999
-69.89958754,43.78868401,-999,524,-999
-69.89958396,43.78868312,-999,525,-999
-69.89958038,43.78868223,-999,526,-999
-69.89957679,43.78868134,-999,527,-999
-69.89957321,43.78868045,-999,528,-999
-69.89956963,43.78867956,-999,529,-999
-69.89956604,43.78867867,-999,530,-999
-69.89956246,43.78867778,-999,531,-999
-69.89955888,43.78867689,-999,532,-999
-69.89955529,43.78867601,-999,533,-999
-69.89955171,43.78867512,-999,534,-999
-69.89954813,43.78867423,-999,535,-999
-69.89954454,43.78867334,-999,536,-999
-69.89954096,43.78867245,-999,537,-999
-69.89953738,43.78867156,-999,538,-999
-69.89953379,43.78867067,-999,539,-999
-69.89953021,43.78866978,-999,540,-999
-69.89952662,43.78866889,-999,541,-999
-69.89952304,43.788668,-999,542,-999
-69.89951946,43.78866711,-999,543,-999
-69.89951587,43.78866622,-999,544,-999
-69.89951229,43.78866533,-999,545,-999
